Tanggal,ff_avg
1/1/2022,5
2/1/2022,3
3/1/2022,2
4/1/2022,3
5/1/2022,3
6/1/2022,2
7/1/2022,2
8/1/2022,4
9/1/2022,4
10/1/2022,4
11/1/2022,4
12/1/2022,4
13-01-2022,5
14-01-2022,5
15-01-2022,4
16-01-2022,4
17-01-2022,5
18-01-2022,4
19-01-2022,5
20-01-2022,4
21-01-2022,4
22-01-2022,3
23-01-2022,3
24-01-2022,3
25-01-2022,4
26-01-2022,4
27-01-2022,3
28-01-2022,3
29-01-2022,4
30-01-2022,2
31-01-2022,2
1/2/2022,3
2/2/2022,3
3/2/2022,4
4/2/2022,5
5/2/2022,5
6/2/2022,5
7/2/2022,2
8/2/2022,2
9/2/2022,3
10/2/2022,3
11/2/2022,2
12/2/2022,2
13-02-2022,2
14-02-2022,2
15-02-2022,2
16-02-2022,2
17-02-2022,2
18-02-2022,2
19-02-2022,3
20-02-2022,2
21-02-2022,3
22-02-2022,3
23-02-2022,5
24-02-2022,2
25-02-2022,3
26-02-2022,5
27-02-2022,5
28-02-2022,4
1/3/2022,3
2/3/2022,4
3/3/2022,3
4/3/2022,2
5/3/2022,2
6/3/2022,3
7/3/2022,2
8/3/2022,3
9/3/2022,3
10/3/2022,3
11/3/2022,3
12/3/2022,3
13-03-2022,1
14-03-2022,2
15-03-2022,3
16-03-2022,3
17-03-2022,3
18-03-2022,3
19-03-2022,3
20-03-2022,2
21-03-2022,3
22-03-2022,3
23-03-2022,3
24-03-2022,3
25-03-2022,3
26-03-2022,4
27-03-2022,4
28-03-2022,2
29-03-2022,3
30-03-2022,4
31-03-2022,3
1/4/2022,3
2/4/2022,2
3/4/2022,3
4/4/2022,2
5/4/2022,3
6/4/2022,3
7/4/2022,3
8/4/2022,3
9/4/2022,2
10/4/2022,2
11/4/2022,4
12/4/2022,4
13-04-2022,3
14-04-2022,3
15-04-2022,4
16-04-2022,4
17-04-2022,2
18-04-2022,3
19-04-2022,3
20-04-2022,3
21-04-2022,2
22-04-2022,3
23-04-2022,3
24-04-2022,3
25-04-2022,3
26-04-2022,3
27-04-2022,4
28-04-2022,3
29-04-2022,3
30-04-2022,3
1/5/2022,4
2/5/2022,3
3/5/2022,4
4/5/2022,3
5/5/2022,3
6/5/2022,3
7/5/2022,3
8/5/2022,3
9/5/2022,3
10/5/2022,3
11/5/2022,3
12/5/2022,3
13-05-2022,4
14-05-2022,2
15-05-2022,3
16-05-2022,3
17-05-2022,3
18-05-2022,3
19-05-2022,3
20-05-2022,2
21-05-2022,3
22-05-2022,3
